X1    Y   X2
5.548 2.59 .137
4.896 3.770 2.499
1.964 1.270 .419
3.586 1.445 1.699
3.824 3.290 .605
3.111 .930 .677
3.607 1.600 .159
3.557 1.250 1.699
2.989 3.450 .340
18.053 1.096 2.899
3.773 1.745 .082
1.253 1.060 .425
2.094 .890 .444
2.726 2.755 .225
1.758 1.515 .241
5.011 4.770 .099
2.455 2.220 .644
.913 .590 .266
.890 .530 .351
2.468 1.910 .027
4.168 4.010 .030
4.810 1.745 3.400
34.319 1.965 1.499
1.531 2.55 .351
1.481 .770 .082
2.239 .720 .518
4.204 1.730 .471
3.463 2.860 .036
1.727 .760 .721
